pricingdate,priceclose,r1,signal,prediction_state,ret,strategy,long-cash,long-short
2003-04-17,245.8350009918213,0.0124374582157484,1,1.0,0.0124374582157484,0.0124374582157484,0.0124374582157484,0.0124374582157484
2003-04-21,246.63750076293945,0.0032643837040311,1,1.0,0.0032643837040311,0.0032643837040311,0.0032643837040311,0.0032643837040311
2003-04-22,254.4574966430664,0.0317064349741498,1,1.0,0.0317064349741498,0.0317064349741498,0.0317064349741498,0.0317064349741498
2003-04-23,256.2849993705749,0.0071819567181863,1,1.0,0.0071819567181863,0.0071819567181863,0.0071819567181863,0.0071819567181863
2003-04-24,254.5825061798096,-0.0066429685504287,0,1.0,-0.0066429685504287,-0.0066429685504287,-0.0066429685504287,-0.0066429685504287
2003-04-25,252.71500110626215,-0.0073355593106949,0,1.0,-0.0073355593106949,-0.0073355593106949,-0.0073355593106949,-0.0073355593106949
2003-04-28,255.30500173568728,0.0102487015732635,1,1.0,0.0102487015732635,0.0102487015732635,0.0102487015732635,0.0102487015732635
2003-04-29,254.42249965667725,-0.0034566580090884,0,1.0,-0.0034566580090884,-0.0034566580090884,-0.0034566580090884,-0.0034566580090884
2003-04-30,253.51999807357788,-0.0035472553894299,0,1.0,-0.0035472553894299,-0.0035472553894299,-0.0035472553894299,-0.0035472553894299
2003-05-01,251.57250213623047,-0.0076818237304585,0,1.0,-0.0076818237304585,-0.0076818237304585,-0.0076818237304585,-0.0076818237304585
2003-05-02,256.1324954032898,0.0181259606210459,1,1.0,0.0181259606210459,0.0181259606210459,0.0181259606210459,0.0181259606210459
2003-05-05,255.9349989891052,-0.0007710712921201,0,1.0,-0.0007710712921201,-0.0007710712921201,-0.0007710712921201,-0.0007710712921201
2003-05-06,256.3050031661988,0.0014456958937032,1,1.0,0.0014456958937032,0.0014456958937032,0.0014456958937032,0.0014456958937032
2003-05-07,254.90249967575076,-0.0054720098052029,0,1.0,-0.0054720098052029,-0.0054720098052029,-0.0054720098052029,-0.0054720098052029
2003-05-08,253.76250314712524,-0.0044722846189253,0,1.0,-0.0044722846189253,-0.0044722846189253,-0.0044722846189253,-0.0044722846189253
2003-05-09,256.4724974632263,0.0106792543519713,1,1.0,0.0106792543519713,0.0106792543519713,0.0106792543519713,0.0106792543519713
